"Table 219.20. Public high school graduates, by region, state, and jurisdiction: Selected years, 1980-81 through 2026-27",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Region, state, and jurisdiction",Actual data,,,,,,,,,,,,Projected data,,,,,,,,,,,,,,
,1980-81,1989-90,,1999-2000,2007-08,,2008-09,,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,2025-26,2026-27,"Percent
change,
2012-13 to 
2026-27"
  Iowa .....................,"42,635","31,796",,"33,926","34,573",,"33,926",,"34,462","33,853","33,230","32,548","32,590","32,450","32,890","33,160","33,590","33,200","33,210","33,640","33,670","34,060","34,850","35,510","35,590","34,650",6.5
  Kansas ...................,"29,397","25,367",,"29,102","30,737",,"30,368",,"31,642","31,370","31,898","31,922","32,150","31,900","32,950","33,110","33,610","33,270","33,050","33,460","33,570","33,670","34,400","35,060","35,040","33,980",6.4
  Kentucky .................,"41,714","38,005",,"36,830","39,339",,"41,851",,"42,664","43,031","42,642","42,888","42,400","42,530","43,850","43,510","44,380","44,830","43,630","44,110","44,470","44,310","45,910","47,620","47,650","46,100",7.5
  Louisiana ................,"46,199","36,053",,"38,430","34,401",,"35,622",,"36,573","35,844","36,675","37,508","38,180","37,720","39,080","39,610","42,120","40,330","40,580","39,740","42,070","38,650","41,010","42,510","42,350","40,980",9.3
  Maine ....................,"15,554","13,839",,"12,211","14,350",\4\,"14,093",\4\,"14,069","13,653","13,473","13,170","12,730","12,560","12,750","12,410","12,340","12,160","11,910","11,810","11,990","11,930","11,790","11,880","11,630","11,180",-15.1
,, ,, , ,, ,, , , , ,,,,,,,,,,,,,,,
  Maryland .................,"54,050","41,566",,"47,849","59,171",,"58,304",,"59,078","58,745","58,811","58,896","58,120","57,650","57,560","57,130","58,670","58,010","59,890","60,680","61,270","61,970","63,650","65,760","66,570","64,840",10.1
  Massachusetts ............,"74,831","55,941",\5\,"52,950","65,197",,"65,258",,"64,462","64,724","65,157","66,360","65,200","65,790","66,980","66,600","66,880","66,840","66,020","66,500","66,300","65,040","65,810","66,980","66,690","64,000",-3.6
  Michigan .................,"124,372","93,807",,"97,679","115,183",,"112,742",,"110,682","106,017","105,446","104,210","102,520","102,020","100,960","101,010","101,490","100,500","96,670","95,800","97,450","94,330","95,080","94,990","91,460","88,050",-15.5
  Minnesota ................,"64,166","49,087",,"57,372","60,409",,"59,729",,"59,667","59,357","57,501","58,255","56,370","56,800","56,700","57,420","57,950","59,100","58,450","60,020","61,590","61,630","63,290","65,150","64,770","62,740",7.7
  Mississippi ..............,"28,083","25,182",,"24,232","24,795",,"24,505",,"25,478","27,321","26,158","26,502","26,650","26,260","27,140","27,510","28,230","27,360","26,710","25,890","26,060","25,800","26,400","27,790","27,070","26,100",-1.5
,, ,, , ,, ,, , , , ,,,,,,,,,,,,,,,
  Missouri .................,"60,359","48,957",,"52,848","61,717",,"62,969",,"63,994","62,994","61,313","61,407","60,900","60,590","61,480","61,060","61,250","60,670","59,780","59,940","60,150","60,300","61,050","62,330","61,850","59,950",-2.4
  Montana ..................,"11,634","9,370",,"10,903","10,396",,"10,077",,"10,075","9,732","9,750","9,369","9,470","9,390","9,420","9,550","9,300","9,440","9,520","9,500","9,710","9,690","10,160","10,140","10,400","10,140",8.2
  Nebraska .................,"21,411","17,664",,"20,149","20,035",,"19,501",,"19,370","20,331","20,464","20,442","20,580","20,650","20,960","21,420","22,150","22,400","22,890","23,210","23,760","23,490","24,030","22,820","24,770","23,640",15.7
  Nevada ...................,"9,069","9,477",,"14,551","18,815",,"19,904",\2\,"20,956","21,182","21,891","23,038","22,720","23,040","22,910","23,390","23,720","24,200","24,210","24,190","24,550","25,230","25,950","27,260","27,310","26,900",16.8
  New Hampshire ............,"11,552","10,766",,"11,829","14,982",,"14,757",,"15,034","14,495","14,426","14,262","13,790","13,520","13,670","13,490","13,340","13,090","13,040","12,790","12,810","12,440","12,480","12,340","12,090","11,550",-19.0
,, ,, , ,, ,, , , , ,,,,,,,,,,,,,,,
  New Jersey ...............,"93,168","69,824",,"74,420","94,994",,"95,085",,"96,225","95,186","93,819","96,490","95,220","95,250","97,300","96,150","96,510","96,190","94,850","96,200","96,470","94,960","96,170","97,710","97,050","93,700",-2.9
  New Mexico ...............,"17,915","14,884",,"18,031","18,264",,"17,931",,"18,595","19,352","20,315","19,232","18,590","19,530","19,640","19,890","19,520","19,800","19,700","19,520","19,550","19,790","19,990","20,520","20,320","19,480",1.3
  New York .................,"198,465","143,318",,"141,731","176,310",,"180,917",,"183,826","182,759","180,806","180,351","178,810","179,110","181,550","182,620","186,250","183,100","182,090","183,500","182,720","183,440","186,540","190,120","188,960","183,680",1.8
  North Carolina ...........,"69,395","64,782",,"62,140","83,307",,"86,712",,"88,704","89,892","93,977","94,339","96,210","97,020","101,420","103,800","108,230","109,450","107,420","107,340","99,670","106,850","109,340","112,790","113,190","109,720",16.3
  North Dakota .............,"9,924","7,690",,"8,606","6,999",,"7,232",,"7,155","7,156","6,942","6,900","6,960","7,040","7,070","7,140","7,080","7,330","7,430","7,800","8,190","8,380","8,980","9,320","9,660","9,700",40.5
,, ,, , ,, ,, , , , ,,,,,,,,,,,,,,,
  Ohio .....................,"143,503","114,513",,"111,668","120,758",,"122,203",,"123,437","124,229","123,135","122,491","119,520","120,940","118,870","120,410","120,010","119,850","117,740","116,370","116,520","113,300","118,960","118,500","117,310","113,330",-7.5
  Oklahoma .................,"38,875","35,606",,"37,646","37,630",,"37,219",,"38,503","37,744","37,305","37,033","37,260","38,420","39,400","40,280","40,810","40,700","40,770","41,310","41,600","39,890","42,470","43,550","43,420","42,500",14.7
  Oregon ...................,"28,729","25,473",,"30,151","34,949",,"35,138",,"34,671","34,723","34,261","33,899","34,440","34,800","35,240","35,180","35,100","35,090","34,580","35,170","35,460","35,410","36,640","37,710","37,930","37,210",9.8
  Pennsylvania .............,"144,645","110,527",,"113,959","130,298",,"130,658",,"131,182","130,284","131,733","129,777","127,200","123,560","122,970","120,030","120,760","119,150","116,570","117,380","117,520","115,780","117,170","118,410","116,920","113,210",-12.8
  Rhode Island .............,"10,719","7,825",,"8,477","10,347",,"10,028",,"9,908","9,724","9,751","9,579","9,730","9,900","10,160","9,250","9,350","9,960","9,950","9,870","10,060","9,750","9,820","9,900","9,890","9,500",-0.9
,, ,, , ,, ,, , , , ,,,,,,,,,,,,,,,
  South Carolina ...........,"38,347","32,483",,"31,617","35,303",,"39,114",,"40,438","40,708","41,442","42,246","41,720","42,650","44,190","45,110","46,180","46,340","45,420","45,450","45,900","46,650","48,250","50,770","50,690","49,710",17.7
  South Dakota .............,"10,385","7,650",,"9,278","8,582",,"8,123",,"8,162","8,248","8,196","8,239","7,960","8,140","7,840","8,130","8,180","8,090","8,140","8,360","8,530","8,910","9,080","9,320","9,350","9,110",10.6
  Tennessee ................,"50,648","46,094",,"41,568","57,486",,"60,368",,"62,408","61,862","62,454","61,323","60,970","62,010","62,800","63,470","63,720","63,590","62,630","62,430","62,670","63,530","65,190","66,290","64,780","63,320",3.3
  Texas ....................,"171,665","172,480",,"212,925","252,121",,"264,275",,"280,894","290,470","292,531","301,390","304,360","309,280","320,840","331,390","341,620","348,740","346,410","352,070","356,260","361,470","367,620","379,470","382,770","375,520",24.6
  Utah .....................,"19,886","21,196",,"32,501","28,167",,"30,463",,"31,481","30,888","31,157","33,186","33,400","34,070","35,540","36,780","37,680","38,220","38,890","40,180","40,730","40,800","42,070","43,170","43,290","42,340",27.6
,, ,, , ,, ,, , , , ,,,,,,,,,,,,,,,
  Vermont ..................,"6,424","6,127",,"6,675","7,392",,"7,209",,"7,199","6,932","6,859","6,491","6,360","6,240","6,170","6,080","5,810","5,790","5,720","5,670","5,680","5,790","5,570","5,760","5,720","5,460",-15.8
  Virginia .................,"67,126","60,605",,"65,596","77,369",,"79,651",,"81,511","82,895","83,336","83,279","83,100","82,680","84,580","85,770","88,470","88,100","87,990","87,710","89,090","88,710","90,460","92,650","92,160","89,500",7.5
  Washington ...............,"50,046","45,941",,"57,597","61,625",,"62,764",,"66,046","66,453","65,205","66,066","66,240","68,200","69,990","70,430","70,640","70,930","69,800","70,800","71,650","72,110","73,980","77,060","77,940","76,700",16.1
  West Virginia ............,"23,580","21,854",,"19,437","17,489",,"17,690",,"17,651","17,311","17,603","17,924","17,510","17,460","17,870","17,830","18,140","17,970","18,070","17,740","17,840","17,620","17,410","17,790","17,630","17,030",-5.0
  Wisconsin ................,"67,743","52,038",,"58,545","65,183",,"65,410",,"64,687","64,135","62,705","61,425","60,810","60,460","60,380","61,100","61,230","60,820","59,810","60,200","60,910","60,230","60,510","61,880","61,050","59,040",-3.9
  Wyoming ..................,"6,161","5,823",,"6,462","5,494",,"5,493",,"5,695","5,600","5,553","5,489","5,590","5,550","5,740","5,750","5,870","5,870","5,870","6,190","6,130","6,430","6,580","6,790","6,780","6,630",20.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jurisdiction,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  Bureau of Indian
     Education .........",---,---,,---,---,,---,,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  DoD, overseas ..................",---,---,,"2,642",---,,---,,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
"  DoD, domestic ..................",---,---,,560,---,,---,,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Other jurisdictions,,,,,,,,,,,,,,,,,,,,,,,,,,,
    American Samoa .................,      ---,703,,698,---,,---,,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
    Guam ...................,      ---,"1,033",,"1,406",---,,---,,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
    Northern Marianas ......,      ---,227,,360,---,,---,,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
    Puerto Rico ............,      ---,"29,049",,"30,856","30,016",,"29,286",,"25,514","26,231","25,720",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
    U.S. Virgin Islands ............,      ---,"1,260",,"1,060",820,,940,,958,"1,014","1,046",897,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
---Not available.  ,,,,,,,,,,,,,,,,,,,,,,,,,,,
\1\U.S. total includes estimates for nonreporting states.,,,,,,,,,,,,,,,,,,,,,,,,,,,
"\2\Estimated high school graduates from NCES 2011-312, Public School Graduates and Dropouts from the Common Core of Data: School Year 2008–09.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"\3\Beginning in 1989-90, graduates from adult programs are excluded.  ",,,,,,,,,,,,,,,,,,,,,,,,,,,
"\4\Includes 1,161 graduates in 2007-08 and 1,169 graduates in 2008-09 from private high schools that received a majority of their funding from public sources. ",,,,,,,,,,,,,,,,,,,,,,,,,,,
"\5\Projected data from NCES 91-490, Projections of Education Statistics to 2002.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTE: Data include regular diploma recipients, but exclude students receiving a certificate of attendance and persons receiving high school equivalency certificates. DoD = Department of Defense. Some data have been revised from previously published figures. Detail may not sum to totals because of rounding.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"SOURCE: U.S. Department of Education, National Center for Education Statistics, Common Core of Data (CCD), ""State Nonfiscal Survey of Public Elementary/Secondary Education,"" 1981-82 through 2005-06; ""State Dropout and Completion Data File,"" 2005-06 through 2012-13; Public School Graduates and Dropouts from the Common Core of Data, 2007-08 and 2008-09; and State High School Graduates Projection Model, 1980-81 through 2026-27. (This table was prepared May 2017.)",,,,,,,,,,,,,,,,,,,,,,,,,,,
